{table}
Filename|Component|Version|Source|License|WNPRC Dev|Purpose
joda-time-2.8.1.jar|Joda-Time|2.8.1|{link:From GitHub|https://github.com/JodaOrg/joda-time}|{link:Apache Software License 2.0|http://www.apache.org/licenses/LICENSE-2.0}|jrichardson|Tools for dealing with dates/times in Java
jsoup-1.13.1.jar|jsoup: Java HTML Parser|1.10.3|{link:From GitHub|https://github.com/jhy/jsoup}|{link:MIT License|https://opensource.org/licenses/MIT}|jricharson|Tools for parsing and manipulating HTML and CSS using the DOM
reflections-0.9.10.jar|Reflections|0.9.10|{link:From GitHub|https://github.com/ronmamo/reflections}|{link:WTFPL|http://www.wtfpl.net/about/}|cstevens|Runtime analysis of Java classes and packages
google-api-client-1.23.0.jar|Google API Client for Java|1.30.5|{link:GitHub|https://github.com/googleapis/google-api-java-client}|{link:Apache License 2.0|https://github.com/googleapis/google-api-java-client/blob/master/LICENSE}|ggottfredsen|Library to interact with Google APIs
google-api-services-calendar-v3-rev255-1.23.0.jar|Google Calendar API Client Library for Java|v3-rev20210708-1.32.1|{link:GitHub|https://github.com/googleapis/google-api-java-client-services/tree/master/clients/google-api-services-calendar/v3}|{link:Apache License 2.0|http://www.apache.org/licenses/LICENSE-2.0}|ggottfredsen|Library for interacting with Google Calendars in Java
google-http-client-gson-1.23.0.jar|Google HTTP Client Library for Java|1.39.2-sp.1|{link:GitHub|https://github.com/googleapis/google-http-java-client/tree/master/google-http-client-gson}|{link:Apache License 2.0|https://github.com/googleapis/google-http-java-client/blob/master/LICENSE}|ggottfredsen|A flexible, efficient, and powerful Java library for accessing any resource on the web via HTTP
google-auth-library-oauth2-http-0.19.0.jar|Google Auth Library|1.0.0|{link:GitHub|https://github.com/googleapis/google-auth-library-java/tree/master/oauth2_http}|{link:BSD 3-Clause "New" or "Revised" License|https://github.com/googleapis/google-auth-library-java/blob/master/LICENSE}|ggottfredsen|Contains a wide variety of credentials as well as utility methods to create them and to get Application Default Credentials
commons-text-1.9.jar|Apache Commons Text|1.9|{link:GitHub|https://github.com/apache/commons-text}|{link:Apache License 2.0|https://github.com/apache/commons-text/blob/master/LICENSE.txt}|ggottfredsen|A library focused on algorithms working on strings
msal4j-1.11.0.jar|Microsoft Authentication Library (MSAL) for Java|1.11.0|{link:GitHub|https://github.com/AzureAD/microsoft-authentication-library-for-java}|{link:MIT License|https://github.com/AzureAD/microsoft-authentication-library-for-java/blob/dev/LICENSE}|ggottfredsen|Allows to sign in users or apps with Microsoft identities (Azure AD, Microsoft accounts and Azure AD B2C accounts) and obtain tokens to call Microsoft APIs such as Microsoft Graph
microsoft-graph-2.10.0.jar|Microsoft Graph Java SDK|2.10.0|{link:GitHub|https://github.com/microsoftgraph/msgraph-sdk-java}|{link:MIT License|https://github.com/microsoftgraph/msgraph-sdk-java/blob/dev/LICENSE}|ggottfredsen|Allows for interacting with Microsoft Graph (Calendars/User Accounts/Email/etc.)
slf4j-nop-1.8.0-beta4.jar|Simple Logging Facade for Java|1.8.0-beta4|{link:GitHub|https://github.com/qos-ch/slf4j/tree/master/slf4j-nop}|{link:MIT License|https://github.com/qos-ch/slf4j/blob/master/LICENSE.txt}|ggottfredsen|Abstraction for various logging frameworks allowing for plugging in a desired framework at deployment time
{table}
