"ts"	"remark"	"taskid"	"userid"	"parentId"	"date"	"QCStateLabel"	"Id"	"performedby"	"Description"	"so"	"a"	"project"	"category"	"p"	"account"	"enddate"	"requestid"
"2010-05-24 14:29:42.0"	"quam lacinia nullam adipiscing pulvinar est porttitor ullamcorper fusce mauris viverra nec vel"	""	""	""	"2007-07-23 10:21:00.0"	"Completed"	"test4551032"	""	""	""	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"morbi"	""	""	""	"2008-09-25 10:10:00.0"	"Completed"	"test4551032"	""	"viverra in quis dolor nam mi tortor a fames vivamus eget tortor id arcu elit nullam viverra sed nisl dapibus gravida luctus varius varius nisl et leo suspendisse diam quis in sed ultricies egestas id porttitor posuere eu sed vivamus auctor"	"gradual pair test between cy0090 and cy0127; test #1, 15 minutes; conclusion: inconclusive; shared food: NA; aggression: no; affiliation: yes; good proximity, shared perch multiple times, shared same side for most of test.  NG/MR"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"pretium"	""	""	""	"2008-09-26 09:55:00.0"	"Completed"	"test4551032"	""	"et sit lacus sed ornare donec porta ullamcorper mauris suscipit id nibh tristique feugiat justo rutrum dui eros dui vivamus at tristique sem eu pharetra placerat ut urna tempus at sollicitudin felis vestibulum euismod tristique quam arcu bibendum non faucibus torquent duis vel nisl sed blandit eget aliquet  platea curabitur sem elementum quis metus consequat ullamcorper"	"gradual pair test between cy0090 and cy0127; test #2, 45 minutes; conclusion: compatible; shared food: yes; aggression: no; affiliation: yes; good proximity, shared perch multiple times, shared same side for most of test, both animals appear calm and comfortable, both taking treats, cy0127 groomed cy0090, cy0127 mounted cy0090, both animals lip smacking.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"sit eros"	""	""	""	"2008-09-29 10:00:00.0"	"Completed"	"test4551032"	""	"sociosqu purus vivamus eget morbi ultrices magna mattis vel et integer ut viverra vitae malesuada est in non elit a risus eget lacinia tristique sodales ipsum accumsan facilisis diam et quam quam sit quis integer massa purus commodo nunc et aliquam velit porttitor amet mattis ut sed donec tincidunt eget congue dui sollicitudin"	"gradual pair test between cy0090 and cy0127; test #3, 30 minutes; conclusion: successfully paired; shared food: yes; aggression: no; affiliation: yes; test done in home cage, cy0127 mounted cy0090, cy0090 mounted cy0127 multiple times, cy0127 groomed cy0090 for most of test, both taking treats, both appear calm.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"nunc"	""	""	""	"2008-10-06 12:20:00.0"	"Completed"	"test4551032"	""	"odio dolor felis libero blandit eros pulvinar faucibus risus sed pellentesque"	"privacy panel added to cage in an attempt to reduce fighting.  NG"	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"quis sagittis in tempus lacus sollicitudin quam vulputate id dapibus"	""	""	""	"2007-07-23 10:00:00.0"	"Completed"	"test5904521"	""	""	""	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"dolor urna scelerisque sit nulla sapien vel nisl lobortis sed sem laoreet enim volutpat vitae malesuada consequat augue ut nulla et pretium dui quis posuere dui luctus at dui et a fringilla suscipit faucibus"	""	""	""	"2007-11-07 09:20:00.0"	"Completed"	"test5904521"	""	""	""	""	""	""	""	""	""	""
"2010-05-24 14:29:42.0"	"porta quis proin ligula sollicitudin"	""	""	""	"2007-07-27 11:05:00.0"	"Completed"	"test4564246"	""	""	""	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	"id justo curabitur pretium quisque nullam orci semper"	""	""	""	"2007-07-18 10:50:00.0"	"Completed"	"test6390238"	""	""	""	""	"803932"	""	""	""	""	""
"2010-05-24 14:29:42.0"	""	""	""	""	"2008-09-08 10:50:00.0"	"Completed"	"test6390238"	""	"dui in aliquam at et purus mi blandit nulla venenatis habitasse natoque eleifend urna eu urna ac et morbi mauris aenean augue nam purus nascetur ultrices purus at porttitor"	"Animal reported for flipping."	"Animal assessed by behavioral staff.  Animal did flip.  Animal's health appears stable."	"803932"	""	"No intervention needed at this time.  NG"	""	""	""
