"birth"	"ts"	"remark"	"geoOrigin"	"parentId"	"QCStateLabel"	"medical"	"performedby"	"Description"	"gender"	"cage"	"prepaid"	"departdate"	"status"	"death"	"hold"	"sire"	"avail"	"project"	"calculated_status"	"dam"	"enddate"	"requestid"	"objectid"	"tbdate"	"room"	"weight"	"taskid"	"date"	"cond"	"Id"	"arrivedate"	"species"	"origin"	"wdate"	"v_status"	"account"
"2001-10-04 00:00:00.0"	"2011-06-13 14:55:53.0"	""	""	""	"Completed"	""	""	""	"f"	"1957452"	""	""	"alive"	""	""	"493957"	"at"	""	"Alive"	"9749422"	""	""	"d1bf67d4-cbac-102e-8c2a-9926f351b9ae"	"2011-05-09 00:00:00.0"	"3182651"	"0.449"	""	"2001-10-04 00:00:00.0"	"p"	"test3804589"	""	"Marmoset"	"fringilla"	"2011-06-13 09:00:00.0"	"Not Defined"	""
"2000-03-28 00:00:00.0"	"2011-08-31 14:34:22.0"	""	""	""	"Completed"	""	""	""	"f"	"1957452"	"emborg, gy22"	""	"alive"	""	"emborg-ng"	"5030167"	"ap"	""	"Alive"	"8416939"	""	""	"e9586d70-0dac-102e-8c2a-9926f351b9ae"	"2011-07-22 00:00:00.0"	"6417824"	"5.91"	""	"2000-03-28 00:00:00.0"	"p"	"test4551032"	"2005-07-19 08:30:00.0"	"Cynomolgus"	"sollicitudin"	"2011-06-14 08:00:00.0"	"Not Defined"	""
"2002-10-13 00:00:00.0"	"2011-07-22 16:12:15.0"	""	""	""	"Completed"	""	""	""	"f"	"396352"	"emborg, gy22"	""	"alive"	""	"emborg-ng"	""	"ap"	""	"Alive"	"8377984"	""	""	"fe5ff35b-0dac-102e-8c2a-9926f351b9ae"	"2011-07-22 00:00:00.0"	"6417824"	"3.36"	""	"2002-10-13 00:00:00.0"	"p"	"test5904521"	"2006-01-24 12:00:00.0"	"Cynomolgus"	"diam"	"2011-06-14 08:00:00.0"	"Not Defined"	""
"2004-12-29 00:00:00.0"	"2011-09-14 10:26:23.0"	""	""	""	"Completed"	""	""	""	"m"	"778520"	""	""	"alive"	""	""	"8296075"	"u"	""	"Alive"	"7877112"	""	""	"fd65c93b-d2e4-102e-8c2a-9926f351b9ae"	"2011-07-12 00:00:00.0"	"520678"	"13.61"	""	"2004-12-29 00:00:00.0"	"s"	"test4564246"	""	"Rhesus"	"ac vulputate"	"2011-07-12 10:20:00.0"	"SPF"	""
"2006-11-27 00:00:00.0"	"2011-09-15 15:40:18.0"	""	""	""	"Completed"	""	""	""	"m"	"5426015"	""	""	"alive"	""	""	"3565069"	"abt"	""	"Alive"	"5250080"	""	""	"dbeb7460-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"6.82"	""	"2006-11-27 00:00:00.0"	"p"	"test6390238"	""	"Rhesus"	"risus"	"2011-06-02 14:45:29.0"	"SPF"	""
"2007-09-08 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"m"	"6217224"	""	""	"alive"	""	"tbs-xin"	"4778953"	"ap"	""	"Alive"	"9681212"	""	""	"70eba884-a859-102e-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"5.1"	""	"2007-09-08 00:00:00.0"	"p"	"test3997535"	""	"Rhesus"	"praesent"	"2011-06-02 14:45:29.0"	"SPF"	""
"2007-09-26 00:00:00.0"	"2011-07-18 08:35:10.0"	""	""	""	"Completed"	""	""	""	"m"	"7629361"	""	""	"alive"	""	""	"4884340"	"abt"	""	"Alive"	"7405528"	""	""	"f0ea2d98-0292-102f-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"8.2"	""	"2007-09-26 00:00:00.0"	"s"	"test2008446"	""	"Rhesus"	"ut lobortis"	"2011-05-18 11:16:57.0"	"SPF"	""
"2007-11-16 00:00:00.0"	"2011-09-15 15:39:58.0"	""	""	""	"Completed"	""	""	""	"m"	"5426015"	""	""	"alive"	""	""	"731451"	"ab"	""	"Alive"	"532430"	""	""	"dbe6013a-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"5.88"	""	"2007-11-16 00:00:00.0"	"p"	"test499022"	""	"Rhesus"	"sapien"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-06-08 00:00:00.0"	"2011-07-19 12:12:43.0"	""	""	""	"Completed"	""	""	""	"f"	"9742026"	""	""	"alive"	""	""	"731544"	"ab"	""	"Alive"	"116526"	""	""	"fe8c81b6-da9c-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"4.34"	""	"2008-06-08 00:00:00.0"	"p"	"test5171727"	""	"Rhesus"	"sem"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-06-09 00:00:00.0"	"2011-07-18 13:29:02.0"	""	""	""	"Completed"	""	""	""	"f"	"1957452"	""	""	"d-othr"	"2011-07-18 00:00:00.0"	""	"4778953"	"abt"	""	"Dead"	"3386291"	""	""	"dbe961b9-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"170990"	"2.78"	""	"2008-06-09 00:00:00.0"	"s"	"test2950014"	""	"Rhesus"	"egestas"	"2011-07-18 10:35:00.0"	"Not Defined"	""
"2008-06-25 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	"viral exempt: yellow fever vaccination"	""	""	"f"	"4420023"	""	""	"alive"	""	""	"9819418"	"ab"	""	"Alive"	"642333"	""	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"4.36"	""	"2008-06-25 00:00:00.0"	"p"	"test4710248"	""	"Rhesus"	"metus"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-06-27 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"f"	"4420023"	""	""	"alive"	""	""	"7785547"	"ab"	""	"Alive"	"7579363"	""	""	"dbe75b10-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"4.52"	""	"2008-06-27 00:00:00.0"	"p"	"test3935154"	""	"Rhesus"	"sodales"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-06-30 00:00:00.0"	"2011-07-11 15:21:42.0"	""	""	""	"Completed"	""	""	""	"f"	"7544598"	""	""	"alive"	""	""	"4891303"	"ab"	""	"Alive"	"7524224"	""	""	"dbe999c8-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"4.1"	""	"2008-06-30 00:00:00.0"	"p"	"test4013108"	""	"Rhesus"	"tellus"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-07-23 00:00:00.0"	"2011-07-11 15:21:42.0"	""	""	""	"Completed"	""	""	""	"f"	"7544598"	""	""	"alive"	""	""	"5542511"	"ab"	""	"Alive"	"4076261"	""	""	"dbeacf0b-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"5.54"	""	"2008-07-23 00:00:00.0"	"p"	"test5292692"	""	"Rhesus"	"diam"	"2011-06-02 14:45:29.0"	"SPF"	""
"2008-09-28 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"m"	"3229246"	""	""	"alive"	""	""	"9516255"	"u"	""	"Alive"	"2847931"	""	""	"dbf3266f-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"5.2"	""	"2008-09-28 00:00:00.0"	"p"	"test2227135"	""	"Rhesus"	"non"	"2011-06-02 14:45:29.0"	"SPF"	""
