"weight"	"ts"	"remark"	"taskid"	"parentId"	"date"	"QCStateLabel"	"Id"	"project"	"weightMVIndicator"	"performedby"	"Description"	"account"	"enddate"	"requestid"
"0.037"	"2010-05-24 14:37:42.0"	""	""	""	"2001-10-31 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"vel praesent tincidunt"	""	""	""
"0.035"	"2010-05-24 14:37:42.0"	""	""	""	"2001-11-05 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"erat et convallis"	""	""	""
"0.041"	"2010-05-24 14:37:42.0"	""	""	""	"2001-11-08 12:00:00.0"	"Completed"	"test3804589"	""	""	""	"egestas pharetra"	""	""	""
"0.045"	"2010-05-24 14:37:42.0"	""	""	""	"2001-11-12 13:00:00.0"	"Completed"	"test3804589"	""	""	""	"sed dui suscipit"	""	""	""
"0.058"	"2010-05-24 14:37:42.0"	""	""	""	"2001-11-20 14:00:00.0"	"Completed"	"test3804589"	""	""	""	"a aliquet et tempus"	""	""	""
"0.165"	"2010-05-24 14:37:42.0"	""	""	""	"2001-12-14 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"nam laoreet suscipit"	""	""	""
"0.216"	"2010-05-24 14:37:42.0"	""	""	""	"2002-03-05 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"mauris risus metus"	""	""	""
"0.271"	"2010-05-24 14:37:42.0"	""	""	""	"2002-05-21 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"et turpis at posuere"	""	""	""
"0.271"	"2010-05-24 14:37:42.0"	""	""	""	"2002-05-24 14:30:00.0"	"Completed"	"test3804589"	""	""	""	"gravida enim "	""	""	""
"0.319"	"2010-05-24 14:37:42.0"	""	""	""	"2002-07-08 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"nullam aliquet"	""	""	""
"0.363"	"2010-05-24 14:37:42.0"	""	""	""	"2002-10-15 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"laoreet lacinia"	""	""	""
"0.348"	"2010-05-24 14:37:42.0"	""	""	""	"2003-01-08 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"nulla lorem eleifend"	""	""	""
"0.401"	"2010-05-24 14:37:42.0"	""	""	""	"2003-05-06 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"et massa cras"	""	""	""
"0.398"	"2010-05-24 14:37:42.0"	""	""	""	"2003-07-08 08:00:00.0"	"Completed"	"test3804589"	""	""	""	"felis velit fringilla"	""	""	""
"0.389"	"2010-05-24 14:37:42.0"	""	""	""	"2003-09-18 09:00:00.0"	"Completed"	"test3804589"	""	""	""	" pulvinar cursus"	""	""	""
"0.388"	"2010-05-24 14:37:42.0"	""	""	""	"2003-10-20 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"molestie duis"	""	""	""
"0.399"	"2010-05-24 14:37:42.0"	""	""	""	"2004-01-08 09:00:00.0"	"Completed"	"test3804589"	""	""	""	"curabitur ornare"	""	""	""
"0.404"	"2010-05-24 14:37:42.0"	""	""	""	"2004-02-05 14:45:00.0"	"Completed"	"test3804589"	""	""	""	"dolor non vestibulum"	""	""	""
"0.379"	"2010-05-24 14:37:42.0"	""	""	""	"2004-03-03 09:45:00.0"	"Completed"	"test3804589"	""	""	""	"scelerisque arcu"	""	""	""
"0.39"	"2010-05-24 14:37:42.0"	""	""	""	"2004-03-11 08:15:00.0"	"Completed"	"test3804589"	""	""	""	"velit lobortis"	""	""	""
"0.377"	"2010-05-24 14:37:42.0"	""	""	""	"2004-03-31 10:10:00.0"	"Completed"	"test3804589"	""	""	""	"aenean enim ut"	""	""	""
"0.377"	"2010-05-24 14:37:42.0"	""	""	""	"2004-04-16 07:45:00.0"	"Completed"	"test3804589"	""	""	""	"et duis at nisi"	""	""	""
"0.405"	"2010-05-24 14:37:42.0"	""	""	""	"2004-05-04 00:00:00.0"	"Completed"	"test3804589"	""	""	""	"felis bibendum"	""	""	""
"0.373"	"2010-05-24 14:37:42.0"	""	""	""	"2004-06-02 12:00:00.0"	"Completed"	"test3804589"	""	""	""	"congue erat integer"	""	""	""
"0.39"	"2010-05-24 14:37:42.0"	""	""	""	"2004-06-30 10:30:00.0"	"Completed"	"test3804589"	""	""	""	"condimentum suscipit"	""	""	""
"0.417"	"2010-05-24 14:37:42.0"	""	""	""	"2004-08-02 09:15:00.0"	"Completed"	"test3804589"	""	""	""	"molestie ante"	""	""	""
"0.415"	"2010-05-24 14:37:42.0"	""	""	""	"2004-08-09 10:00:00.0"	"Completed"	"test3804589"	""	""	""	"nisi quam semper"	""	""	""
