"cagesJoined"	"reason"	"remark"	"date"	"cond"	"QCStateLabel"	"Id"	"area"	"performedby"	"cage"	"enddate"	"restraintType"	"room"
""	""	""	"2009-09-29 06:15:00.0"	"p"	""	"test3804589"	"A1/AB190"	""	"1957452"	""	""	"3182651"
""	""	""	"2011-08-31 13:30:00.0"	"p"	""	"test4551032"	"CB"	""	"1957452"	""	""	"6417824"
""	""	""	"2011-01-20 08:15:00.0"	"p"	""	"test5904521"	"CB"	""	"396352"	""	""	"6417824"
""	""	""	"2011-09-14 09:30:00.0"	"s"	""	"test4564246"	"AB-Old"	""	"778520"	""	""	"520678"
""	""	""	"2011-09-15 14:00:00.0"	"p"	""	"test6390238"	"AB-Old"	""	"5426015"	""	""	"2043365"
""	""	""	"2011-05-12 09:45:00.0"	"p"	""	"test3997535"	"WIMR"	""	"6217224"	""	""	"9288603"
""	""	""	"2011-07-14 11:15:00.0"	"s"	""	"test2008446"	"AB-Old"	""	"7629361"	""	""	"2043365"
""	""	""	"2011-09-15 14:00:00.0"	"p"	""	"test499022"	"AB-Old"	""	"5426015"	""	""	"2043365"
""	""	""	"2011-07-19 10:30:00.0"	"p"	""	"test5171727"	"WIMR"	""	"9742026"	""	""	"9288603"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test4710248"	"WIMR"	""	"4420023"	""	""	"9288603"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test3935154"	"WIMR"	""	"4420023"	""	""	"9288603"
""	""	""	"2011-06-29 10:30:00.0"	"p"	""	"test4013108"	"AB-Old"	""	"7544598"	""	""	"2043365"
""	""	""	"2011-06-29 10:30:00.0"	"p"	""	"test5292692"	"AB-Old"	""	"7544598"	""	""	"2043365"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test2227135"	"WIMR"	""	"3229246"	""	""	"9288603"
""	""	""	"2011-05-12 09:45:00.0"	"p"	""	"test4935165"	"WIMR"	""	"6217224"	""	""	"9288603"
""	""	""	"2011-01-25 14:00:00.0"	"p"	""	"test3843301"	"WIMR"	""	"4823741"	""	""	"9288603"
""	""	""	"2011-01-25 14:00:00.0"	"p"	""	"test8533200"	"WIMR"	""	"4823741"	""	""	"9288603"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test7407382"	"WIMR"	""	"2356557"	""	""	"9288603"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test5598475"	"WIMR"	""	"2356557"	""	""	"9288603"
""	""	""	"2010-08-11 09:30:00.0"	"p"	""	"test1684145"	"WIMR"	""	"3229246"	""	""	"9288603"
""	""	""	"2010-12-08 09:15:00.0"	"p"	""	"test4945025"	"WIMR"	""	"396352"	""	""	"9288603"
""	""	""	"2011-01-25 14:00:00.0"	"p"	""	"test3137998"	"WIMR"	""	"1957452"	""	""	"9288603"
""	""	""	"2011-01-25 14:00:00.0"	"p"	""	"test7151371"	"WIMR"	""	"1957452"	""	""	"9288603"
""	""	""	"2010-12-08 09:15:00.0"	"p"	""	"test5158984"	"WIMR"	""	"396352"	""	""	"9288603"
""	""	""	"2011-08-03 10:20:00.0"	"p"	""	"test5131891"	"WIMR"	""	"4434662"	""	""	"9288603"
""	""	""	"2011-08-03 10:20:00.0"	"p"	""	"test5409620"	"WIMR"	""	"4434662"	""	""	"9288603"
""	""	""	"2011-09-15 14:00:00.0"	"p"	""	"test3771679"	"AB-Old"	""	"9742026"	""	""	"2043365"
""	""	""	"2011-09-15 14:00:00.0"	"p"	""	"test4037096"	"AB-Old"	""	"9742026"	""	""	"2043365"
""	""	""	"2011-07-27 11:30:00.0"	"p"	""	"test1112911"	"AB-Old"	""	"100172"	""	""	"9625074"
""	""	""	"2011-05-19 15:23:00.0"	"p"	""	"test727088"	"AB-Old"	""	"778520"	""	""	"9625074"
""	""	""	"2011-05-19 15:23:00.0"	"p"	""	"test3621582"	"AB-Old"	""	"778520"	""	""	"9625074"
""	""	""	"2011-05-31 10:15:00.0"	"g"	""	"test6208376"	"C4"	""	"4962187"	""	""	"5217677"
""	""	""	"2011-08-29 14:00:00.0"	"g"	""	"test9195996"	"C4"	""	"8494027"	""	""	"2341092"
""	""	""	"2011-08-29 14:00:00.0"	"g"	""	"test8976544"	"C4"	""	"8494027"	""	""	"2341092"
""	""	""	"2011-08-29 14:00:00.0"	"g"	""	"test3844307"	"C4"	""	"8494027"	""	""	"2341092"
""	""	""	"2011-07-25 13:00:00.0"	"s"	""	"test2312318"	"A2"	""	"4434662"	""	""	"6824778"
