"ts"	"remark"	"taskid"	"userid"	"lastAdministered"	"qualifier"	"parentId"	"frequency"	"date"	"dosage_units"	"vol_units"	"QCStateLabel"	"amount"	"Id"	"performedby"	"Description"	"concentration"	"dosage"	"code"	"meaning"	"conc_units"	"project"	"amount_units"	"route"	"volume"	"account"	"requestid"	"enddate"
"2010-05-24 14:37:37.0"	""	""	""	""	""	""	"1"	"2009-06-16 00:00:00.0"	""	"mL"	"Completed"	"2.25"	"test3804589"	""	"gravida in  odio cras ultricies nostra varius tellus eros mauris sem scelerisque a praesent in nec quis placerat bibendum nec phasellus parturient quam enim"	"4.5"	""	"c-d1507"	"enrofloxacin (baytril)"	"mg/mL"	"803932"	"mg"	"oral"	"0.5"	""	""	"2009-06-20 00:00:00.0"
"2011-02-04 12:03:58.0"	""	""	"7601400"	""	""	""	"4"	"2011-02-04 00:00:00.0"	""	"mL"	"Completed"	"2.25"	"test3804589"	"urbanski"	"dignissim consequat convallis conubia varius lacus egestas amet porta volutpat sodales porttitor curabitur scelerisque morbi sem tortor sed in non turpis at"	"4.5"	""	"c-d1507"	"Enrofloxacin (Baytril)"	"mg/mL"	"803932"	"mg"	"oral"	"0.5"	""	""	"2011-02-04 00:00:00.0"
"2011-02-04 12:04:32.0"	""	""	"7601400"	""	""	""	"1"	"2011-02-05 00:00:00.0"	""	"mL"	"Completed"	"2.25"	"test3804589"	"urbanski"	"lacus eu massa sapien ullamcorper ac quis in proin felis vulputate eget ut mattis adipiscing sagittis vitae lobortis lectus urna varius amet non nisl integer"	"4.5"	""	"c-d1507"	"Enrofloxacin (Baytril)"	"mg/mL"	"803932"	"mg"	"oral"	"0.5"	""	""	"2011-02-08 00:00:00.0"
"2010-07-09 16:38:25.0"	""	""	"3079426"	""	""	""	"1"	"2009-07-28 00:00:00.0"	""	"piece(s)"	"Completed"	"2000.0"	"test4551032"	"jbacon"	"posuere eu sodales eu nibh risus morbi praesent augue fermentum et ac malesuada suspendisse vestibulum rhoncus ultricies mi et pharetra faucibus consequat et ac"	"2000.0"	""	"r-f94e9"	"inulin (fiber bites)"	"mg/piece"	"803932"	"mg"	"oral"	"1.0"	""	""	"2010-07-09 00:00:00.0"
"2010-05-24 14:37:37.0"	""	""	"7342513"	""	""	""	"1"	"2009-09-09 00:00:00.0"	""	"piece(s)"	"Completed"	"1600.0"	"test4551032"	"smaves"	"curabitur nullam id turpis ultricies taciti tincidunt donec sed fringilla tellus porta ac cras nibh et duis viverra porttitor tincidunt ligula quisque neque aliquam"	"800.0"	""	"r-f94e9"	"inulin (fiber bites)"	"mg/piece"	"803932"	"mg"	"oral"	"2.0"	""	""	"2009-10-31 00:00:00.0"
"2011-03-24 14:38:00.0"	"consectetur turpis consectetur mi eu"	""	"6476700"	""	""	""	"4"	"2009-11-01 00:00:00.0"	""	""	"Completed"	"2000.0"	"test4551032"	"jcoonen"	"ipsum sagittis vel nisi sit enim tempus sed duis eros ipsum vestibulum eros consectetur congue in amet libero sed odio pharetra arcu eget lacinia sem lectus"	"2000.0"	""	"r-f94e9"	"Inulin (Fiber Bites)"	"mg/piece"	"803932"	"mg"	"oral"	"1.0"	""	""	"2011-03-24 00:00:00.0"
"2010-06-03 12:33:27.0"	""	""	"6339563"	""	""	""	"1"	"2010-06-03 00:00:00.0"	""	"mL"	"Completed"	"1.35"	"test4564246"	"mharke"	"commodo quam nisl urna elementum integer dui hac lacus hendrerit praesent  ante hendrerit est ut donec vivamus phasellus aliquet quam fringilla augue pretium ac phasellus magnis fermentum"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.9"	""	""	"2010-06-03 00:00:00.0"
"2010-06-03 12:33:47.0"	""	""	"6339563"	""	""	""	"1"	"2010-06-04 00:00:00.0"	""	"mL"	"Completed"	"1.35"	"test4564246"	"mharke"	"bibendum  eu quisque at ante vestibulum odio egestas bibendum pharetra sodales vitae at aenean sagittis pharetra varius nibh ullamcorper varius semper vestibulum diam lectus urna id egestas"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.9"	""	""	"2010-06-06 00:00:00.0"
"2010-06-29 12:19:12.0"	""	""	"313998"	""	""	""	"4"	"2010-06-29 00:00:00.0"	""	"mL"	"Completed"	"0.93"	"test6390238"	"kflemmen"	"porttitor auctor vitae pellentesque accumsan mauris aenean pellentesque in consectetur tristique non odio ac et vivamus ut lorem et est suscipit mollis tincidunt eget donec sodales rhoncus"	"1.5"	""	"c-60432"	"meloxicam (oral suspension) (metacam)"	"mg/mL"	"803932"	"mg"	"oral"	"0.62"	""	""	"2010-06-29 00:00:00.0"
"2010-10-01 09:24:13.0"	""	""	"8088273"	""	""	""	"1"	"2010-10-02 00:00:00.0"	""	"mL"	"Completed"	"1.08"	"test6390238"	"rbaker"	"ut nisl in risus  auctor fringilla et nec nisl placerat dis ornare sit euismod  tortor nec quis in purus sit condimentum vitae enim tincidunt tincidunt metus nec dictumst scelerisque ante"	"1.5"	""	"c-60432"	"Meloxicam (oral suspension) (Metacam)"	"mg/mL"	"8247490"	"mg"	"oral"	"0.72"	""	""	"2010-10-03 00:00:00.0"
"2010-12-08 08:35:24.0"	""	""	"2034725"	""	""	""	"1"	"2010-12-08 00:00:00.0"	""	"mL"	"Completed"	"75.0"	"test5171727"	"tomczak"	"sed nisi integer phasellus enim felis ultrices et turpis sed integer fermentum vitae lacinia sem nisi pellentesque nisi pretium ultricies"	"50.0"	""	"c-53130"	"Cephalexin"	"mg/mL"	"803932"	"mg"	"oral"	"1.5"	""	""	"2010-12-14 00:00:00.0"
