"other"	"cause"	"lowerLegs"	"dorsum"	"remark"	"taskid"	"score"	"parentId"	"date"	"QCStateLabel"	"Id"	"rump"	"performedby"	"Description"	"upperLegs"	"head"	"hips"	"lowerArms"	"shoulders"	"project"	"account"	"upperArms"	"enddate"	"requestid"
"No"	"Behavioral"	"Yes"	"Yes"	"vestibulum vehicula vitae augue urna iaculis id porttitor velit leo sit ac proin nec"	"4374574b-a1b5-102e-877d-f528764d9dfa"	"4.0"	"4374574a-a1b5-102e-877d-f528764d9dfa"	"2011-07-22 08:51:00.0"	"Completed"	"test4551032"	"Yes"	"jcoonen"	"eget neque class semper ridiculus pretium"	"Yes"	"No"	"Yes"	"Yes"	"No"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"No"	"Yes"	"scelerisque lacinia eros sed"	"bedd479b-a1a8-102e-877d-f528764d9dfa"	"3.0"	"bedd479a-a1a8-102e-877d-f528764d9dfa"	"2011-07-22 09:22:00.0"	"Completed"	"test5904521"	"No"	"jcoonen"	"mauris pharetra tortor phasellus suspendisse"	"No"	"Yes"	"No"	"No"	"Yes"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"7cb07c5b-ab08-102e-82cc-f528764d4520"	"3.0"	"7cb07c5a-ab08-102e-82cc-f528764d4520"	"2011-07-12 10:30:00.0"	"Completed"	"test4564246"	"No"	"mharke"	"quis nec sollicitudin sollicitudin congue"	"No"	"No"	"No"	"No"	"No"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"4b7cd6f2-aa42-102e-b651-f528764dd3a5"	"2.0"	"4b7cd6f1-aa42-102e-b651-f528764dd3a5"	"2011-07-11 09:30:00.0"	"Completed"	"test6390238"	"No"	"mharke"	"venenatis sed quis iaculis dapibus sit"	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"2d40b63d-af32-102e-8fcd-f528764d9ad7"	"3.0"	"2d40b63c-af32-102e-8fcd-f528764d9ad7"	"2011-08-22 13:00:00.0"	"Completed"	"test6390238"	"No"	"mharke"	"aliquet lacus eleifend odio ipsum proin"	"No"	"No"	"No"	"No"	"No"	"803932"	"6393464"	"Yes"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"1513cf23-aa3a-102e-b651-f528764dd3a5"	"2.0"	"1513cf22-aa3a-102e-b651-f528764dd3a5"	"2011-07-11 10:00:00.0"	"Completed"	"test2008446"	"No"	"mharke"	"euismod conubia sit malesuada porta sodales"	"No"	"No"	"No"	"No"	"No"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"Yes"	"No"	""	"7c3e1928-c069-102e-a229-48cf881b7844"	"2.0"	"7c3e1927-c069-102e-a229-48cf881b7844"	"2011-08-25 10:30:00.0"	"Completed"	"test2008446"	"No"	"mharke"	"dictum mollis hac vitae ante volutpat"	"No"	"No"	"No"	"No"	"No"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"Yes"	"Yes"	""	"4b7cd58a-aa42-102e-b651-f528764dd3a5"	"3.0"	"4b7cd589-aa42-102e-b651-f528764dd3a5"	"2011-07-11 09:30:00.0"	"Completed"	"test499022"	"No"	"mharke"	"non fringilla volutpat id nec mi mi purus"	"No"	"No"	"No"	"No"	"Yes"	"803932"	""	"Yes"	""	""
"No"	"Behavioral"	"No"	"Yes"	""	"1513ce1b-aa3a-102e-b651-f528764dd3a5"	"3.0"	"1513ce1a-aa3a-102e-b651-f528764dd3a5"	"2011-07-11 10:00:00.0"	"Completed"	"test4013108"	"No"	"mharke"	"diam nam nec erat diam risus ac ipsum"	"No"	"No"	"No"	"No"	"Yes"	"803932"	""	"No"	""	""
"No"	""	"No"	"No"	""	"1513cbe7-aa3a-102e-b651-f528764dd3a5"	""	"1513cbe6-aa3a-102e-b651-f528764dd3a5"	"2011-07-11 10:00:00.0"	"Completed"	"test5292692"	"No"	"mharke"	""	"No"	"No"	"No"	"No"	"No"	"803932"	""	"No"	""	""
